Yaw;Pitch;Roll;Ang_vel_x;Ang_vel_y;Ang_vel_z;u(z);t;setpoint
358.875;0.5;1.1875;0.01;-0.03;-0.03;0.52;0.05;180
359;0.4375;1.25;0.01;-0.02;-0.03;0.52;0.1;180
359.0625;0.4375;1.3125;0;-0.02;-0.03;0.52;0.15;180
359.125;0.4375;1.375;-0.01;-0.01;-0.03;0.52;0.2;180
359.25;0.4375;1.375;-0.02;0;-0.03;0.52;0.25;180
359.375;0.4375;1.375;-0.02;0.02;-0.03;0.51;0.29;180
359.4375;0.5;1.375;-0.02;0.02;-0.04;0.52;0.34;180
359.5;0.5625;1.3125;-0.02;0.02;-0.03;0.52;0.39;180
359.625;0.625;1.25;-0.02;0.02;-0.03;0.52;0.45;180
359.6875;0.625;1.1875;-0.02;0.03;-0.04;0.52;0.49;180
359.8125;0.6875;1.125;-0.01;0.02;-0.02;0.51;0.53;180
359.875;0.75;1.0625;-0.01;0.01;0.02;0.49;0.58;180
359.875;0.75;1.0625;0;0;0.08;0.46;0.63;180
359.75;0.75;1;0.01;-0.01;0.17;0.41;0.68;180
359.375;0.75;1;0.02;-0.01;0.26;0.37;0.73;180
358.75;0.75;1;0.02;-0.03;0.31;0.34;0.78;180
357.9375;0.6875;1.0625;0.03;-0.03;0.34;0.33;0.82;180
357.1875;0.625;1.125;0.03;-0.03;0.37;0.31;0.87;180
356.1875;0.625;1.1875;0.03;-0.02;0.42;0.29;0.92;180
355.0625;0.5625;1.25;0.02;-0.02;0.48;0.26;0.96;180
354.0625;0.5;1.25;0.02;0;0.56;0.22;1.01;180
352.625;0.5;1.3125;0.01;0.01;0.62;0.19;1.06;180
350.9375;0.5;1.25;0.01;0.02;0.66;0.17;1.11;180
349.125;0.4375;1.1875;0.01;0.03;0.7;0.15;1.16;180
347.625;0.5;1.125;0.01;0.04;0.73;0.13;1.21;180
345.6875;0.5;1;0;0.05;0.77;0.11;1.25;180
343.625;0.5;0.8125;0;0.05;0.8;0.09;1.3;180
341.4375;0.5;0.625;0.01;0.05;0.83;0.08;1.35;180
339.125;0.5;0.5;0.01;0.05;0.86;0.06;1.4;180
337.25;0.5;0.3125;0.01;0.04;0.88;0.05;1.45;180
334.875;0.5;0.1875;0.01;0.03;0.9;0.04;1.49;180
332.375;0.4375;0.0625;0.02;0;0.93;0.02;1.54;180
329.875;0.375;0;0.01;0;0.96;0;1.59;180
