__time,/imu/angular_velocity/x,/imu/angular_velocity/y,/imu/angular_velocity/z,/imu/angular_velocity_covariance[0;0],/imu/angular_velocity_covariance[0;1],/imu/angular_velocity_covariance[0;2],/imu/angular_velocity_covariance[1;1],/imu/angular_velocity_covariance[1;2],/imu/angular_velocity_covariance[2;2],/imu/header/stamp,/imu/linear_acceleration/x,/imu/linear_acceleration/y,/imu/linear_acceleration/z,/imu/linear_acceleration_covariance[0;0],/imu/linear_acceleration_covariance[0;1],/imu/linear_acceleration_covariance[0;2],/imu/linear_acceleration_covariance[1;1],/imu/linear_acceleration_covariance[1;2],/imu/linear_acceleration_covariance[2;2],/imu/orientation/pitch_deg,/imu/orientation/roll_deg,/imu/orientation/w,/imu/orientation/x,/imu/orientation/y,/imu/orientation/yaw_deg,/imu/orientation/z,/imu/orientation_covariance[0;0],/imu/orientation_covariance[0;1],/imu/orientation_covariance[0;2],/imu/orientation_covariance[1;1],/imu/orientation_covariance[1;2],/imu/orientation_covariance[2;2],/imu_euler/data.0,/imu_euler/data.1,/imu_euler/data.2,/imu_euler/layout/data_offset
1717613906.701399,-0.004363323,0.006544985,-0.258526891,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.782465872,0.277774840,-0.973327637,-0.000793457,0.007202148,-26.515376441,0.229309082,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.702705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.500000000,0.750000000,-0.250000000,0.000000000
1717613906.747905,-0.004363323,0.008726646,-0.242164433,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.758743301,0.284348764,-0.971923828,-0.000854492,0.007019043,-27.205818674,0.235168457,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.748578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.187500000,0.750000000,-0.250000000,0.000000000
1717613906.795410,-0.005454154,0.009817477,-0.247618586,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.728517297,0.288032819,-0.970825195,-0.000915527,0.006774902,-27.752018035,0.239807129,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.796990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.875000000,0.687500000,-0.250000000,0.000000000
1717613906.844434,-0.005454154,0.007635816,-0.247618586,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.691203357,0.290541850,-0.969360352,-0.000976563,0.006469727,-28.430476244,0.245544434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.845926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.375000000,0.687500000,-0.250000000,0.000000000
1717613906.893280,-0.004363323,0.002181662,-0.247618586,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.669130656,0.289389621,-0.967895508,-0.000976563,0.006286621,-29.115735326,0.251342773,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.894814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.062500000,0.625000000,-0.250000000,0.000000000
1717613906.940516,-0.006544985,0.003272492,-0.255254388,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.638529841,0.293054522,-0.966308594,-0.001037598,0.006042480,-29.818061233,0.257263184,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.942011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.812500000,0.625000000,-0.250000000,0.000000000
1717613906.987439,-0.005454154,-0.002181662,-0.241073608,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.616496523,0.291347043,-0.964782715,-0.001037598,0.005859375,-30.505057212,0.263061523,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613906.989183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.500000000,0.562500000,-0.250000000,0.000000000
1717613907.035940,-0.002181662,-0.011999139,-0.236710280,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.601663181,0.290448090,-0.963562012,-0.001037598,0.005737305,-31.034397301,0.267517090,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.036965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.000000000,0.562500000,-0.250000000,0.000000000
1717613907.084540,0.002181662,-0.019634955,-0.229074463,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.622109254,0.292837776,-0.962036133,-0.000976563,0.005920410,-31.681025671,0.272949219,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.084948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.625000000,0.562500000,-0.250000000,0.000000000
1717613907.132392,-0.001090831,-0.032724924,-0.199622035,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.686889707,0.293429903,-0.960571289,-0.000793457,0.006469727,-32.278767598,0.277954102,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.134124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.250000000,0.625000000,-0.250000000,0.000000000
1717613907.178369,0.000000000,-0.017453292,-0.111264735,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.736700394,0.296430951,-0.959472656,-0.000671387,0.006896973,-32.717041576,0.281616211,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.182807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.687500000,0.687500000,-0.250000000,0.000000000
1717613907.227587,-0.001090831,-0.004363323,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.729826266,0.294821850,-0.959350586,-0.000671387,0.006835938,-32.774642988,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.228225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.276510,0.000000000,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.709696680,0.288901422,-0.959350586,-0.000671387,0.006652832,-32.774554529,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.277131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.326869,-0.001090831,-0.002181662,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.331493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.375396,0.001090831,0.000000000,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.375960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.424418,-0.001090831,-0.004363323,0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.424726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.474882,-0.001090831,-0.003272492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.474994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.518368,-0.001090831,-0.004363323,0.002181662,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.518899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
1717613907.567391,-0.001090831,0.003272492,-0.001090831,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.702986806,0.286927956,-0.959350586,-0.000671387,0.006591797,-32.774525504,0.282104492,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,,,,
1717613907.568919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.750000000,0.687500000,-0.250000000,0.000000000
